Version	BugType	Age.Month	Pre.Month
swA	bug	-4	-1
swA	bug	-74	-1
swA	bug	-4	-1
swA	bug	-1	-1
swA	feature	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	feature	-4	-1
swA	feature	-29	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	0	0
swA	feature	-22	-1
swA	bug	-4	-1
swA	feature	-3	-1
swA	bug	0	0
swA	feature	-4	-1
swA	feature	0	0
swA	feature	-1	-1
swA	feature	-6	-1
swA	feature	-3	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	feature	-18	-1
swA	feature	-2	-1
swA	bug	-2	-1
swA	feature	-3	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	feature	-17	-1
swA	bug	-17	-1
swA	bug	-17	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-15	-1
swA	bug	-3	-1
swA	bug	-14	-1
swA	bug	-14	-1
swA	feature	-6	-1
swA	bug	0	0
swA	bug	-1	-1
swA	feature	-1	-1
swA	bug	-14	-1
swA	feature	-3	-1
swA	bug	0	0
swA	bug	-1	-1
swA	bug	-14	-1
swA	bug	0	0
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-13	-1
swA	bug	-13	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	feature	-1	-1
swA	bug	-2	-1
swA	bug	-12	-1
swA	bug	-2	-1
swA	bug	-12	-1
swA	bug	-4	-1
swA	bug	-12	-1
swA	feature	-12	-1
swA	bug	-2	-1
swA	bug	-12	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-12	-1
swA	bug	-11	-1
swA	bug	-11	-1
swA	bug	-3	-1
swA	feature	-11	-1
swA	bug	-11	-1
swA	bug	-2	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-11	-1
swA	bug	-1	-1
swA	bug	0	0
swA	bug	-4	-1
swA	bug	-11	-1
swA	bug	-3	-1
swA	feature	-11	-1
swA	bug	-11	-1
swA	bug	-11	-1
swA	bug	0	0
swA	feature	-4	-1
swA	feature	-4	-1
swA	bug	-3	-1
swA	feature	-10	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-10	-1
swA	bug	-3	-1
swA	feature	-10	-1
swA	bug	0	0
swA	bug	-10	-1
swA	bug	-10	-1
swA	bug	-10	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-1	-1
swA	bug	-10	-1
swA	bug	-10	-1
swA	bug	-2	-1
swA	bug	-9	-1
swA	feature	-2	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-9	-1
swA	bug	-4	-1
swA	feature	-9	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	0	0
swA	bug	-9	-1
swA	feature	-3	-1
swA	bug	-9	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	0	0
swA	bug	0	0
swA	bug	-1	-1
swA	bug	-5	-1
swA	bug	0	0
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-2	-1
swA	bug	0	0
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-9	-1
swA	bug	0	0
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	feature	-4	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	-9	-1
swA	bug	-4	-1
swA	feature	-4	-1
swA	bug	-8	-1
swA	bug	-8	-1
swA	bug	-8	-1
swA	bug	-8	-1
swA	feature	-8	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-8	-1
swA	bug	-1	-1
swA	bug	0	0
swA	feature	-8	-1
swA	bug	-8	-1
swA	bug	-2	-1
swA	bug	0	0
swA	bug	-8	-1
swA	bug	-8	-1
swA	bug	-4	-1
swA	bug	-8	-1
swA	bug	-8	-1
swA	bug	-1	-1
swA	bug	0	0
swA	bug	-4	-1
swA	feature	-3	-1
swA	feature	-3	-1
swA	bug	-3	-1
swA	bug	-1	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-8	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	bug	-8	-1
swA	bug	-4	-1
swA	bug	0	0
swA	bug	-3	-1
swA	bug	-8	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-8	-1
swA	bug	-8	-1
swA	bug	-8	-1
swA	bug	-1	-1
swA	feature	-4	-1
swA	bug	-1	-1
swA	bug	-1	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-7	-1
swA	bug	-4	-1
swA	bug	-7	-1
swA	bug	-1	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	feature	-7	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-1	-1
swA	bug	-3	-1
swA	bug	-7	-1
swA	feature	-4	-1
swA	bug	-3	-1
swA	bug	-7	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-1	-1
swA	feature	0	0
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-7	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	0	0
swA	bug	-7	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-3	-1
swA	bug	-7	-1
swA	bug	-7	-1
swA	feature	-4	-1
swA	bug	0	0
swA	bug	-7	-1
swA	bug	-7	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-7	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	0	0
swA	bug	-7	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	0	0
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-6	-1
swA	bug	0	0
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-1	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-4	-1
swA	feature	-3	-1
swA	feature	-3	-1
swA	bug	-2	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-1	-1
swA	bug	0	0
swA	bug	-2	-1
swA	feature	-1	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	feature	-4	-1
swA	bug	-3	-1
swA	feature	-6	-1
swA	bug	-1	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	feature	-5	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	feature	-6	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	bug	0	0
swA	bug	-4	-1
swA	bug	-4	-1
swA	feature	-4	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	feature	-3	-1
swA	bug	-2	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	0	0
swA	bug	0	0
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	feature	-6	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-6	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-1	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-1	-1
swA	bug	-6	-1
swA	feature	-6	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-6	-1
swA	bug	-3	-1
swA	bug	-6	-1
swA	feature	-6	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-6	-1
swA	feature	-1	-1
swA	bug	-4	-1
swA	bug	0	0
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	bug	-1	-1
swA	bug	-5	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	feature	-3	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	feature	-3	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-1	-1
swA	bug	-2	-1
swA	feature	-5	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-4	-1
swA	bug	-1	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-2	-1
swA	feature	0	0
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-5	-1
swA	feature	-5	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	feature	-5	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-2	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-2	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-1	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-2	-1
swA	bug	-3	-1
swA	feature	-1	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	feature	-3	-1
swA	feature	-3	-1
swA	bug	-2	-1
swA	bug	-2	-1
swA	bug	-1	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	feature	-3	-1
swA	bug	-5	-1
swA	bug	-1	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-3	-1
swA	bug	-2	-1
swA	bug	-1	-1
swA	bug	-4	-1
swA	bug	-3	-1
swA	bug	-5	-1
swA	bug	-3	-1
swA	feature	-4	-1
swA	bug	-4	-1
swA	bug	0	0
swA	bug	-2	-1
swA	bug	-4	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-5	-1
swA	bug	-3	-1
